(Collecting) ep=    41 ep_reward_last=1.00 ep_reward_avg=1.80 ep_steps= 155 total_steps=   6898 loss=0.0000 eps=1.0000 fps=561.62
(Collecting) ep=    42 ep_reward_last=1.00 ep_reward_avg=1.90 ep_steps= 152 total_steps=   7036 loss=0.0000 eps=1.0000 fps=553.53
(Collecting) ep=    43 ep_reward_last=1.00 ep_reward_avg=1.90 ep_steps= 176 total_steps=   7198 loss=0.0000 eps=1.0000 fps=550.01
(Collecting) ep=    44 ep_reward_last=2.00 ep_reward_avg=2.10 ep_steps= 204 total_steps=   7388 loss=0.0000 eps=1.0000 fps=567.03
(Collecting) ep=    45 ep_reward_last=0.00 ep_reward_avg=1.50 ep_steps= 129 total_steps=   7503 loss=0.0000 eps=1.0000 fps=548.53
(Collecting) ep=    46 ep_reward_last=1.00 ep_reward_avg=1.30 ep_steps= 155 total_steps=   7644 loss=0.0000 eps=1.0000 fps=562.20
(Collecting) ep=    47 ep_reward_last=0.00 ep_reward_avg=1.10 ep_steps= 127 total_steps=   7757 loss=0.0000 eps=1.0000 fps=543.33
(Collecting) ep=    48 ep_reward_last=2.00 ep_reward_avg=1.30 ep_steps= 221 total_steps=   7964 loss=0.0000 eps=1.0000 fps=566.16
(Collecting) ep=    49 ep_reward_last=0.00 ep_reward_avg=1.10 ep_steps= 127 total_steps=   8077 loss=0.0000 eps=1.0000 fps=553.32
(Collecting) ep=    50 ep_reward_last=3.00 ep_reward_avg=1.10 ep_steps= 255 total_steps=   8318 loss=0.0000 eps=1.0000 fps=565.58
(Collecting) ep=    51 ep_reward_last=4.00 ep_reward_avg=1.40 ep_steps= 299 total_steps=   8603 loss=0.0000 eps=1.0000 fps=571.21
(Collecting) ep=    52 ep_reward_last=2.00 ep_reward_avg=1.50 ep_steps= 202 total_steps=   8791 loss=0.0000 eps=1.0000 fps=566.29
(Collecting) ep=    53 ep_reward_last=1.00 ep_reward_avg=1.50 ep_steps= 155 total_steps=   8932 loss=0.0000 eps=1.0000 fps=560.49
(Collecting) ep=    54 ep_reward_last=1.00 ep_reward_avg=1.40 ep_steps= 157 total_steps=   9075 loss=0.0000 eps=1.0000 fps=556.02
(Collecting) ep=    55 ep_reward_last=3.00 ep_reward_avg=1.70 ep_steps= 232 total_steps=   9293 loss=0.0000 eps=1.0000 fps=561.30
(Collecting) ep=    56 ep_reward_last=0.00 ep_reward_avg=1.60 ep_steps= 127 total_steps=   9406 loss=0.0000 eps=1.0000 fps=557.95
(Collecting) ep=    57 ep_reward_last=4.00 ep_reward_avg=2.00 ep_steps= 297 total_steps=   9689 loss=0.0000 eps=1.0000 fps=571.82
(Collecting) ep=    58 ep_reward_last=1.00 ep_reward_avg=1.90 ep_steps= 155 total_steps=   9830 loss=0.0000 eps=1.0000 fps=553.01
(Collecting) ep=    59 ep_reward_last=1.00 ep_reward_avg=2.00 ep_steps= 157 total_steps=   9973 loss=0.0000 eps=1.0000 fps=555.51
(Collecting) ep=    60 ep_reward_last=1.00 ep_reward_avg=1.80 ep_steps= 153 total_steps=  10112 loss=0.0000 eps=1.0000 fps=557.41
(Collecting) ep=    61 ep_reward_last=0.00 ep_reward_avg=1.40 ep_steps= 125 total_steps=  10223 loss=0.0000 eps=1.0000 fps=559.64
(Collecting) ep=    62 ep_reward_last=1.00 ep_reward_avg=1.30 ep_steps= 155 total_steps=  10364 loss=0.0000 eps=1.0000 fps=544.82
(Collecting) ep=    63 ep_reward_last=0.00 ep_reward_avg=1.20 ep_steps= 125 total_steps=  10475 loss=0.0000 eps=1.0000 fps=550.84
(Collecting) ep=    64 ep_reward_last=0.00 ep_reward_avg=1.10 ep_steps= 127 total_steps=  10588 loss=0.0000 eps=1.0000 fps=558.69
(Collecting) ep=    65 ep_reward_last=1.00 ep_reward_avg=0.90 ep_steps= 171 total_steps=  10745 loss=0.0000 eps=1.0000 fps=556.76
(Collecting) ep=    66 ep_reward_last=8.00 ep_reward_avg=1.70 ep_steps= 354 total_steps=  11085 loss=0.0000 eps=1.0000 fps=568.42
(Collecting) ep=    67 ep_reward_last=4.00 ep_reward_avg=1.70 ep_steps= 318 total_steps=  11389 loss=0.0000 eps=1.0000 fps=568.72
(Collecting) ep=    68 ep_reward_last=0.00 ep_reward_avg=1.60 ep_steps= 127 total_steps=  11502 loss=0.0000 eps=1.0000 fps=562.55
(Collecting) ep=    69 ep_reward_last=0.00 ep_reward_avg=1.50 ep_steps= 129 total_steps=  11617 loss=0.0000 eps=1.0000 fps=559.82
(Collecting) ep=    70 ep_reward_last=5.00 ep_reward_avg=1.90 ep_steps= 329 total_steps=  11932 loss=0.0000 eps=1.0000 fps=568.32
